docid,author,bibliography,body,title
2,ting-yili,"department of aeronautical engineering, rensselaer polytechnic institute troy, n.y.","simple shear flow past a flat plate in an incompressible fluid of small viscosity . in the study of high-speed viscous flow past a two-dimensional body it is usually necessary to consider a curved shock wave emitting from the nose or leading edge of the body .  consequently, there exists an inviscid rotational flow region between the shock wave and the boundary layer .  such a situation arises, for instance, in the study of the hypersonic viscous flow past a flat plate .  the situation is somewhat different from prandtl's classical boundary-layer problem . in prandtl's original problem the inviscid free stream outside the boundary layer is irrotational while in a hypersonic boundary-layer problem the inviscid free stream must be considered as rotational .  the possible effects of vorticity have been recently discussed by ferri and libby .  in the present paper, the simple shear flow past a flat plate in a fluid of small viscosity is investigated .  it can be shown that this problem can again be treated by the boundary-layer approximation, the only novel feature being that the free stream has a constant vorticity .  the discussion here is restricted to two-dimensional incompressible steady flow .",simple shear flow past a flat plate in an incompressible fluid of small viscosity .
3,m. b. glauert,"department of mathematics, university of manchester, manchester, england",the boundary layer in simple shear flow past a flat plate . the boundary-layer equations are presented for steady incompressible flow with no pressure gradient .,the boundary layer in simple shear flow past a flat plate .
5,"wasserman,b.","j. ae. scs. 24, 1957, 924.","one-dimensional transient heat conduction into a double-layer slab subjected to a linear heat input for a small time internal .   analytic solutions are presented for the transient heat conduction in composite slabs exposed at one surface to a triangular heat rate .  this type of heating rate may occur, for example, during aerodynamic heating .",one-dimensional transient heat conduction into a double-layer slab subjected to a linear heat input for a small time internal .
6,"campbell,w.f.","j. ae. scs. 25, 1958, 340.","one-dimensional transient heat flow in a multilayer slab .   in a recent contribution to the readers' forum wassermann gave analytic solutions for the temperature in a double layer slab, with a triangular heat rate input at one face, insulated at the other, and with no thermal resistance at the interface .  his solutions were for the three particular cases.. i propose here to give the general solution to this problem, to indicate briefly how it is obtained using the method of reference 2, and to point out that the solutions given by wassermann are incomplete for times longer than the duration of the heat input .",one-dimensional transient heat flow in a multilayer slab .
12,"bisplinghoff,r.l.","j. ae. scs. 23, 1956, 289.","some structural and aerelastic considerations of high speed flight .   the dominating factors in structural design of high-speed aircraft are thermal and aeroelastic in origin .  the subject matter is concerned largely with a discussion of these factors and their interrelation with one another .  a summary is presented of some of the analytical and experimental tools available to aeronautical engineers to meet the demands of high-speed flight upon aircraft structures .  the state of the art with respect to heat transfer from the boundary layer into the structure, modes of failure under combined load as well as thermal inputs and acrothermoelasticity is discussed .  methods of attacking and alleviating structural and aeroelastic problems of high-speed flight are summarized .  finally, some avenues of fundamental research are suggested .",some structural and aerelastic considerations of high speed flight .
15,"fung,y.c.","j. ae. scs. 25, 1958, 145.","on two-dimensional panel flutter .   theory and experiments of the flutter of a buckled plate are discussed .  it is shown that an increase in the initial deviation from flatness or a static pressure differential across the plate raises the critical value of the /reduced velocity ./   the applicability of the galerkin method to the linearized problem of flutter of an unbuckled plate has been questioned by several authors .  in this paper the flutter condition was formulated in the form of an integral equation and solved numerically by the method of iteration and the method of matrix approximations, thus avoiding the constraint of assumed modes .  for a plate (with finite bending rigidity) the results confirm those given by the galerkin method .   an approximate analysis of the limiting form and amplitude of the flutter motion for a buckled plate is presented .",on two-dimensional panel flutter .
16,"mager,a.","j. ae. scs. 25, 1958, 305.","transformation of the compressible turbulent boundary layer .   the transformation of the compressible turbulent boundary- layer equations to their incompressible equivalent is demonstrated analytically .  the transformation is essentially the same as that for the laminar layer, first given by stewartson, except that the explicit relation between the viscosity and temperature is not required .  a key point in the analysis is the modification of the stream function to include a mean of the fluctuating components and the postulate that the apparent turbulent shear, associated with an elemental mass, remains invariant in the transformation .   the values of the incompressible friction coefficients and of pressure rise causing separation thus transformed show good agreement with the experimentally measured and independently reported results .  an application of the transformation to the self-preserving boundary layers and to the computations of general boundary-layer flow is shown .",transformation of the compressible turbulent boundary layer .
21,stephen h. maslen,"lewis flight propulsion laboratory, naca, cleveland, ohio","on heat transfer in slip flow . a number of authors have considered the effect of slip on the heat transfer and skin friction in a laminar boundary layer over a flat plate . reference 1 considers this by a perturbation on the usual laminar boundary-layer analysis while some other studies.dash e.g., reference the impulsive motion of an infinite plate .",on heat transfer in slip flow .
23,"seban,r.a. and bond,r.","j. ae. scs. 18, 1951, 671.","skin-friction and heat transfer characteristics of a laminar boundary layer on a cylinder in axial incompressible flow .   a solution is given for the case of the laminar boundary layer of an incompressible fluid of constant properties on the exterior of a cylinder with flow parallel to the cylinder axis .  this case differs from the blasius solution for flow along a flat plate by considering the effect of the curvature in a plane transverse to the flow direction .  the local skin-friction and heat-transfer coefficients for a prandtl number of 0.715 are evaluated and compared to the similar magnitudes for flat plate flow, and the effect of the curvature is shown to be significant in some practical cases .  recovery factors are evaluated, and this quantity is found to be insensitive to the effect of curvature of the boundary .",skin-friction and heat transfer characteristics of a laminar boundary layer on a cylinder in axial incompressible flow .
24,"fay,j.a. and riddell,f.r.","j. ae. scs. 25, 1958, 73.","theory of stagnation point heat transfer in dissociated air .   the boundary-layer equations are developed in general for the case of very high speed flight where the external flow is in a dissociated state .  in particular the effects of diffusion and of atom recombination in the boundary layer are included .  it is shown that at the stagnation point the equations can be reduced exactly to a set of nonlinear ordinary differential equations even when the chemical reactions proceed so slowly that the boundary layer is not in thermochemical equilibrium .   two methods of numerical solution of these stagnation point equations are presented, one for the equilibrium case and the other for the nonequilibrium case .  numerical results are correlated in terms of the parameters entering the numerical formulation so as not to depend critically on the physical assumptions made .   for the nonequilibrium boundary layer, both catalytic (to atom recombination) and noncatalytic wall surfaces are considered .  a solution is represented which shows the transition from the /frozen/ boundary layer (very slow recombination rates) to the equilibrium boundary layer (fast recombination rates) . a recombination rate parameter is introduced to interpret the nonequilibrium results, and it is shown that a scale factor is involved in relating the equilibrium state of a boundary layer on bodies of different sizes .   it is concluded that the heat transfer through the equilibrium stagnation point boundary layer can be computed accurately by a simple correlation formula and that the heat transfer is almost unaffected by a nonequilibrium state of the boundary layer provided the wall is catalytic and the lewis number near unity .",theory of stagnation point heat transfer in dissociated air .
