qid,query
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft .
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft .
3,what problems of heat conduction in composite slabs have been solved so far .
8,what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack.
10,are real-gas transport properties for air available over a wide range of enthalpies and densities .
19,does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results .
20,"has anyone formally determined the influence of joule heating,  produced by the induced current,  in magnetohydrodynamic free convection flows under general conditions ."
23,what progress has been made in research on unsteady aerodynamics .
25,does a practical flow follow the theoretical concepts for the interaction between adjacent blade rows of a supersonic cascade .
26,what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate .
29,what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges .
30,papers on flow visualization on slender conical wings .
34,have wind tunnel interference effects been investigated on a systematic basis .
37,are there any theoretical methods for predicting base pressure .
38,does transition in the hypersonic wake depend on body geometry and size
39,how can one detect transition phenomena in boundary layers .
40,how can one detect transition phenomena in hypersonic wakes .
43,can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way .
45,has anyone investigated the effect of surface mass transfer on hypersonic viscous interactions .
46,what is the combined effect of surface heat and mass transfer on hypersonic flow .
47,what are the existing solutions for hypersonic viscous interactions over an insulated flat plate .
48,what controls leading-edge attachment at transonic speeds .
51,what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow (the ?transverse curvature  effect) .
54,how is the heat transfer downstream of the mass transfer region effected by mass transfer at the nose of a blunted cone .
55,to what extent can the available information for incompressible boundary layers be applied to problems involving compressible boundary layers .
62,"how far around a cylinder and under what conditions of flow, if any, is the velocity just outside of the boundary layer a linear function of the distance around the cylinder ."
65,does the boundary layer on a flat plate in a shear flow induce a pressure gradient .
66,can the procedure of matching inner and outer solutions for a viscous flow problem be applied when the main stream is a shear flow .
67,can series expansions be found for the boundary layer on a flat plate in a shear flow .
68,what possible techniques are available for computing the injection distribution corresponding to an isothermal transpiration cooled hemisphere .
70,previous solutions to the boundary layer similarity equations .
71,experimental results on hypersonic viscous interaction .
72,"what has been done about viscous interactions in relatively low reynolds number flows, particularly at high mach numbers ."
73,what role does the effect of chemical reaction (particularly when out of equilibrium) play in the similitude laws governing hypersonic flows over slender aerodynamic bodies .
75,do the discrepancies among current analyses of the vorticity effect on stagnation-point heat transfer result primarily from the differences in the viscosity-temperature law assumed .
76,how far can one trust the linear viscosity-temperature solution assumed in some of the analyses of hypersonic shock layer at low reynolds number .
82,how do kuchemann's and multhopp's methods for calculating lift distributions on swept wings in subsonic flow compare with each other and with experiment .
84,references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow .
88,how does a satellite orbit contract under the action of air drag in an atmosphere in which the scale height varies with altitude .
90,recent data on shock-induced boundary-layer separation .
