text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;,False,0,,2016-11-23 18:40:30,False,,8.014956569763185e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HASHTAGFARZIWAL,331,True,False
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,False,0,,2016-11-23 18:40:29,False,,8.014956547784129e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PRAMODKAUSHIK9,66,True,False
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th",False,0,,2016-11-23 18:40:03,False,,8.014955442668216e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rahulja13034944,12,True,False
RT @ANI_news: Gurugram (Haryana): Post office employees provide cash exchange to patients in hospitals #demonetization https://t.co/uGMxUP9,False,0,,2016-11-23 18:39:59,False,,8.014955270241606e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deeptiyvd,338,True,False
RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https://t.co/u7gLNrq31F,False,0,,2016-11-23 18:39:39,False,,8.0149544558336e+17,,"<a href=""http://cpimharyana.com"" rel=""nofollow"">CPIMBadli</a>",CPIMBadli,120,True,False
"@DerekScissors1: Indias #demonetization: #Blackmoney a symptom, not the disease https://t.co/HSl6Ihj0Qe via @ambazaarmag",False,0,DerekScissors1,2016-11-23 18:39:11,False,,8.014953264399647e+17,2586266100.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ambazaarmag,0,False,False
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have,False,0,,2016-11-23 18:38:53,False,,8.014952487109673e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhodia1,637,True,False
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas",False,0,,2016-11-23 18:38:20,False,,8.014951130924974e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KARUNASHANKEROJ,112,True,False
"RT @sumitbhati2002: Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support oppositio",False,0,,2016-11-23 18:38:09,False,,8.014950642707948e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumitbhati2002,1,True,False
National reform now destroyed even the essence of sagan. Such instances urge giving #demonetization a second though https://t.co/eyySIREiUq,False,0,,2016-11-23 18:38:00,True,,8.014950276459397e+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",HelpIndia2016,0,False,False
"Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support opposition just b'coz of party",False,1,,2016-11-23 18:37:47,False,,8.014949748440433e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumitbhati2002,1,False,False
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,False,0,,2016-11-23 18:37:25,False,,8.014948830683177e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MonishGavand,120,True,False
